测试脚本名称,性能检查点, 标准时间,超时标准,超时上限,竞品值,容忍值,业务场景,实测值,结果,是否达标
6W_设置等其他操作性能保护230330,视图对象样式设置生效,0.6,百分比,0.2,NULL,1.3,1,0.563,正常,达标
6W_设置等其他操作性能保护230330,应用视图样板,2.5,百分比,0.2,1.59,1.59,1,2.532,正常,不达标
6W_设置等其他操作性能保护230330,平面视图-修改顶部偏移/深度偏移,2.5,百分比,0.2,1,1,1,2.579,正常,不达标
6W_设置等其他操作性能保护230330,平面视图-范围框拖拽夹点,0.35,百分比,0.2,1.3,0.8,1,0.265,提升,达标
6W_设置等其他操作性能保护230330,平面视图-旋转裁剪框,0.4,百分比,0.2,1,3,1,0.344,正常,达标
6W_设置等其他操作性能保护230330,挪动CAD图纸,1.8,百分比,0.2,1,1,1,1.75,正常,不达标
6W_设置等其他操作性能保护230330,撤销移动CAD图纸,2.5,百分比,0.2,0.3,0.3,1,2.234,正常,不达标
6W_设置等其他操作性能保护230330,显示CAD（底图）挪动构件,1.0,百分比,0.2,1.53,1.3,1,0.766,提升,达标
6W_设置等其他操作性能保护230330,平面视图-批量调整轴网长度,0.3,百分比,0.2,1,0.9,1,0.312,正常,达标
6W_设置等其他操作性能保护230330,立面视图-批量调整标高线长度,0.15,绝对值,16.0,7.73,0.2,1,0.047,提升,达标
6W_墙梁板柱操作性能保护230329,创建柱,0.2,绝对值,0.5,1,0.6,1,0.187,提升,达标
6W_墙梁板柱操作性能保护230329,移动柱-扣减连接,0.3,绝对值,0.47,25.25,0.5,1,0.344,正常,达标
6W_墙梁板柱操作性能保护230329,柱对齐（出对齐结果）,0.3,百分比,0.2,24.57,0.6,1,0.281,正常,达标
6W_墙梁板柱操作性能保护230329,柱类型替换,0.3,绝对值,0.4,24.03,0.5,1,0.25,提升,达标
6W_墙梁板柱操作性能保护230329,修改单个柱类型参数,36.0,百分比,0.2,48.4,48.4,1,36.094,正常,达标
6W_墙梁板柱操作性能保护230329,柱空间位置编辑（影响几何与空间关系）,0.4,绝对值,0.45,23.49,0.5,1,0.281,提升,达标
6W_墙梁板柱操作性能保护230329,创建墙,0.2,百分比,0.2,0.3,0.3,1,0.141,提升,达标
6W_墙梁板柱操作性能保护230329,移动墙-扣减连接,0.5,百分比,0.2,25.95,0.6,1,0.469,正常,达标
6W_墙梁板柱操作性能保护230329,墙对齐（出对齐结果）,0.3,百分比,0.2,25.72,0.6,1,0.235,提升,达标
6W_墙梁板柱操作性能保护230329,墙夹点拖动,0.5,绝对值,0.6,23.22,0.7,1,0.422,提升,达标
6W_墙梁板柱操作性能保护230329,墙类型替换,0.2,百分比,0.2,24.76,0.36,1,0.187,正常,达标
6W_墙梁板柱操作性能保护230329,修改单个墙类型参数,36.0,百分比,0.2,109.36,80,1,36.047,正常,达标
6W_墙梁板柱操作性能保护230329,墙空间位置编辑（影响几何与空间关系）,0.4,绝对值,0.45,16.21,0.5,1,0.328,提升,达标
6W_墙梁板柱操作性能保护230329,创建梁,0.3,百分比,0.2,0.3,0.3,1,0.468,衰退,不达标
6W_墙梁板柱操作性能保护230329,移动梁-有扣减连接,0.65,百分比,0.2,1.95,0.9,1,0.593,正常,达标
6W_墙梁板柱操作性能保护230329,梁夹点拖动,0.4,百分比,0.2,2.32,1,1,0.328,正常,达标
6W_墙梁板柱操作性能保护230329,梁类型替换,0.45,百分比,0.2,1.51,0.6,1,0.422,正常,达标
6W_墙梁板柱操作性能保护230329,修改单个梁类型参数,1.0,百分比,0.2,7.74,1.7,1,0.922,正常,达标
6W_墙梁板柱操作性能保护230329,梁空间位置编辑（不影响几何与空间关系）,0.1,百分比,0.2,0.3,0.2,1,0.078,提升,达标
6W_墙梁板柱操作性能保护230329,创建楼板,0.5,百分比,0.2,1.81,0.6,1,0.453,正常,达标
6W_墙梁板柱操作性能保护230329,板类型替换,0.1,百分比,0.2,0.3,0.2,1,0.094,正常,达标
6W_墙梁板柱操作性能保护230329,修改单个板类型参数,5.0,百分比,0.2,69.44,10,1,4.907,正常,达标
6W_墙梁板柱操作性能保护230329,楼板空间位置编辑（影响几何与空间关系）,0.15,绝对值,0.2,0.3,0.2,1,0.063,提升,达标
6W_墙梁板柱操作性能保护230329,楼板编辑（进入二次编辑）有连接扣减,0.35,百分比,0.2,0.3,0.5,1,0.25,提升,达标
6W_墙梁板柱操作性能保护230329,楼板编辑（结束二次编辑）有连接扣减,0.35,百分比,0.2,0.3,0.5,1,0.469,衰退,达标
6W_墙梁板柱操作性能保护230329,板洞创建（生成板洞）,0.5,百分比,0.2,0.3,0.3,1,0.5,正常,不达标
6W_墙梁板柱操作性能保护230329,移动板洞,0.15,绝对值,0.25,0.3,0.3,1,0.094,提升,达标
6W_墙梁板柱操作性能保护230329,板洞复制粘贴,0.25,绝对值,0.3,0.3,0.3,1,0.125,提升,达标
6W_墙梁板柱操作性能保护230329,板洞编辑（进入二次编辑）,0.4,百分比,0.2,0.3,0.5,1,0.437,正常,达标
6W_墙梁板柱操作性能保护230329,板洞编辑（结束二次编辑）,0.45,百分比,0.2,0.3,0.5,1,0.469,正常,达标
6W_墙梁板柱操作性能保护230329,创建竖井（生成洞口）,0.35,百分比,0.2,0.3,0.5,1,0.468,衰退,达标
6W_墙梁板柱操作性能保护230329,移动竖井,0.15,绝对值,0.2,0.3,0.3,1,0.125,提升,达标
6W_墙梁板柱操作性能保护230329,竖井复制粘贴,0.2,百分比,0.2,0.3,0.3,1,0.172,正常,达标
6W_墙梁板柱操作性能保护230329,竖井属性编辑（影响几何与空间关系）,0.15,百分比,0.2,0.3,0.3,1,0.125,正常,达标
